,country,1st_const_year,2nd_const_year,tfidf_distance,lda_distance,use_distance,stm_distance,constitutional_time,first_regime_time,codes
33,Chile,1823,1828.0,2.3902609646320343,1.2963009680761308,0.20002376578208791,1.953191020789506,199,5.0,CPV
34,China,1914,1923.0,3.860090332105756,2.3730479348289943,0.897671703340129,5.290515012343976,108,9.0,Caribbean charter
35,Colombia,1811,1830.0,4.714640706777573,2.579297448257834,0.5237276895131332,6.5482532061564545,211,19.0,CAF
36,Comoros,1996,2001.0,0.6203730404376984,0.3340164079975937,0.12190675634187309,0.4709765494524994,26,5.0,TCD
37,Congo,1963,1979.0,1.3101141154766083,1.1280200162383691,0.11170061389947628,1.4377195140478358,59,16.0,CHL
38,Costa Rica,1848,1871.0,1.8353433012962341,1.1476965263612164,0.1430388039186854,1.4531487172273088,174,23.0,CHN
39,Croatia,1991,,0.0,0.0,0.0,0.0,31,,COL
40,Cuba,1940,1959.0,1.0376110672950745,0.8504139913199292,0.14946200321557002,0.8935052044923842,82,19.0,COM
41,Cyprus,1960,,0.0,0.0,0.0,0.0,62,,COG
42,Czech Republic,1993,,0.0,0.0,0.0,0.0,29,,CRI
43,Democratic Republic of the Congo,1964,1967.0,2.2406360879540443,1.2548232384794926,0.25751569822745723,1.608296406966486,58,3.0,HRV
44,Denmark,1866,1953.0,0.9232193231582642,0.5883016321873852,0.0685756049556584,0.4097802848529133,156,87.0,CUB
45,Djibouti,1977,1992.0,0.6185770034790039,0.4410730471534441,0.2485869338323755,0.2884652440926529,45,15.0,CYP
46,Dominica,1978,,0.0,0.0,0.0,0.0,44,,CZE
47,Dominican Republic,1821,1858.0,4.3147315084934235,3.4228462270023297,0.9981496238743207,7.655179479300104,201,37.0,CSK
48,East Timor,2002,,0.0,0.0,0.0,0.0,20,,COD
49,Ecuador,1830,1869.0,5.926186345517635,3.5184761248171617,0.3989623116882295,6.469361033305896,192,39.0,DNK
50,Egypt,1923,1956.0,2.5081372559070587,1.61551537162613,0.20881557105828574,3.115473453704027,99,33.0,DJI
51,El Salvador,1824,1841.0,2.9397564828395844,1.791971040895169,0.23240689366185097,4.525869525259936,198,17.0,DMA
52,Equatorial Guinea,1968,1973.0,1.0856826901435852,1.150007771669734,0.22484008612100115,1.5123653703764788,54,5.0,DOM
53,Eritrea,1997,,0.0,0.0,0.0,0.0,25,,TLS
54,Estonia,1920,1937.0,2.493385285139084,2.0928894280147663,0.40863505927840815,1.6299110345727734,102,17.0,ECU
55,Ethiopia,1931,1955.0,1.601694405078888,1.5819180749049466,0.4416853589950026,1.8416597461152775,91,24.0,EGY
56,Fiji,1970,1990.0,0.35797226428985607,0.9394967200936912,0.05246308186707527,1.5970635828478694,52,20.0,SLV
57,Finland,1919,1999.0,0.5718935430049896,0.6697153824178694,0.07969810884841044,0.5678395400919026,103,80.0,GNQ
58,France,1791,1793.0,8.805528793483973,5.310201275622308,1.8396432249015717,7.0117779333306185,231,2.0,ERI
59,Gabon,1961,1975.0,0.6984707713127136,0.6551399513009006,0.050172522175863654,0.49322700123790436,61,14.0,EST
60,Gambia,1970,1996.0,0.12006580829620361,0.5963252086910432,0.048659747516943574,0.5350633565305641,52,26.0,ETH
61,Georgia,1995,,0.0,0.0,0.0,0.0,27,,FJI
62,Germany,1871,1919.0,0.3502974510192871,0.5518588083382516,0.03364362066196702,0.1039359939700892,151,48.0,FIN
63,Ghana,1954,1957.0,1.1119575798511505,1.3951284760171598,0.4434506369333243,2.5280156580696236,68,3.0,FRA
64,Great Colombia,1821,,0.0,0.0,0.0,0.0,201,,GAB
65,Greece,1952,1968.0,0.7128946185112,0.6226838793599638,0.07457314906058143,0.5798472424236426,70,16.0,GMB
66,Grenada,1974,,0.0,0.0,0.0,0.0,48,,GEO
67,Guatemala,1879,1945.0,1.6571165025234222,1.4437553495347955,0.22239403382038414,2.630157826016193,143,66.0,DEU-DR
68,Guinea,1958,1982.0,1.8179659247398376,1.5080014230759404,0.31850496830138075,1.388527679609454,64,24.0,DEU
69,Guinea Bissau,1973,1984.0,1.1015338599681854,0.7699972664901198,0.20756069959819845,0.6171491744127866,49,11.0,DEU-FR
