,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
137,OMN,Poland,1921,1935.0,0.960284915,0.19456530000000005,0.0844018310308456,0.2479312568902969,0.021293041047382832,0.13705906797598955,101,14.0,0.06859177964285715,0.006028702216488971,0.001520931503384488,0.0019263891089108915,0.00245476491970591,0.0013570204750097976
138,PAK,Portugal,1911,1976.0,0.6624356499999999,0.6624356499999999,0.6643596291542053,0.6643596291542053,0.16280580607599515,0.16280580607599515,111,65.0,0.01019131769230769,0.01022091737160316,0.002504704708861464,0.005967888738738738,0.00598522188427212,0.001466718973657614
139,PLW,Qatar,2003,,,,,,,,19,19.0,,,,,,
140,PAN,Romania,1948,1952.0,0.910497904,0.9936541156,0.2178563177585601,0.6925398111343385,0.055698516329678815,0.1497859474125114,74,4.0,0.227624476,0.054464079439640024,0.013924629082419704,0.01342775831891892,0.009358646096409979,0.002024134424493397
141,PNG,Russia,1905,1918.0,0.8263678999999999,0.6705097,0.539143979549408,0.5072146058082582,0.188916078931339,0.22749051398442255,117,13.0,0.06356676153846154,0.04147261381149292,0.01453200607164146,0.005730852136752136,0.0043351675710107535,0.001944363367388227
142,PRY,Rwanda,1962,1978.0,0.6141721600000001,0.39607349999999997,0.2404306530952453,0.5237389802932739,0.03811156821151285,0.12388819918441663,60,16.0,0.038385760000000005,0.015026915818452832,0.002381973013219553,0.006601225,0.008728983004887898,0.0020648033197402773
143,PER,Saint Kitts and Nevis,1983,,,,,,,,39,39.0,,,,,,
144,PHL,Saint Lucia,1978,,,,,,,,44,44.0,,,,,,
145,POL,Saint Vincent and the Grenadines,1979,,,,,,,,43,43.0,,,,,,
146,PRT,Samoa,1962,,,,,,,,60,60.0,,,,,,
147,QAT,Sao Tome and Principe,1975,,,,,,,,47,47.0,,,,,,
148,VNM,Saudi Arabia,1926,1992.0,0.61926216,0.61926216,0.3870294094085693,0.3870294094085693,0.10964881167540486,0.10964881167540486,96,66.0,0.00938276,0.005864081960735898,0.001661345631445528,0.0064506475,0.00403155634800593,0.0011421751216188006
149,ROU,Senegal,1963,2001.0,0.41385510000000003,0.41385510000000003,0.2983480095863343,0.2983480095863343,0.03899271318511077,0.03899271318511077,59,38.0,0.010890923684210527,0.007851263410166691,0.0010261240311871256,0.007014493220338983,0.005056745925192107,0.0006608934438154368
150,RUS,Seychelles,1979,1993.0,0.14310250000000002,0.14310250000000002,0.0730639100074768,0.0730639100074768,0.08953288709990403,0.08953288709990403,43,14.0,0.010221607142857145,0.005218850714819772,0.0063952062214217165,0.00332796511627907,0.001699160697848298,0.0020821601651140474
151,RWA,Sierra Leone,1961,1978.0,0.110186,0.12124369999999995,0.1346673667430877,0.2197436094284058,0.04836474444317318,0.0734107053555898,61,17.0,0.006481529411764706,0.007921609808416925,0.0028449849672454812,0.0019876016393442614,0.003602354252924685,0.00120345418615721
152,KNA,Singapore,1958,,,,,,,,64,64.0,,,,,,
153,LCA,Slovakia,1992,,,,,,,,30,30.0,,,,,,
154,VCT,Slovenia,1991,,,,,,,,31,31.0,,,,,,
155,WSM,Solomon Islands,1978,,,,,,,,44,44.0,,,,,,
156,STP,Somalia,1960,1979.0,0.69543922,0.85822763,0.4265217185020447,0.5870012044906616,0.04967293685362961,0.13037253795744974,62,19.0,0.036602064210526315,0.022448511500107616,0.002614365097559453,0.013842381129032258,0.009467761362752607,0.0021027828702814473
157,SAU,South Africa,1961,1983.0,0.3971762,0.54476687,0.0998487770557403,0.291097640991211,0.028679087413782778,0.1598313746810569,61,22.0,0.018053463636363634,0.004538580775260923,0.0013035948824446717,0.008930604426229508,0.004772092475265754,0.0026201864701812607
158,SEN,South Korea,1948,1987.0,0.63344964,0.63344964,0.2451242506504058,0.2451242506504058,0.06685724596693077,0.06685724596693077,74,39.0,0.016242298461538462,0.0062852371961642515,0.00171428835812643,0.00856013027027027,0.0033124898736541326,0.0009034762968504157
159,SYC,South Sudan,2011,,,,,,,,11,11.0,,,,,,
160,SLE,Spain,1808,1812.0,0.82604352,0.81067613,0.122823916375637,0.4206810593605041,0.11242903737605603,0.1517498585208379,214,4.0,0.20651088,0.03070597909390925,0.028107259344014007,0.0037882062149532715,0.0019657993428060937,0.0007091114884151303
161,SGP,Sri Lanka,1931,1946.0,0.4493296,0.880680054,0.1451348513364792,0.6745865345001221,0.02963332118622597,0.1297914903675963,91,15.0,0.029955306666666667,0.00967565675576528,0.001975554745748398,0.009677802791208792,0.007413038840660682,0.0014262801139296297
162,SVK,Sudan,1973,1998.0,0.61996865,0.48525447,0.4924027919769287,0.627366542816162,0.03254092546137877,0.18458258533751115,49,25.0,0.024798746,0.019696111679077147,0.0013016370184551506,0.009903152448979591,0.012803398832982898,0.0037669915375002274
163,SVN,Suriname,1987,,,,,,,,35,35.0,,,,,,
164,SLB,Swaziland,1968,2005.0,0.15057779999999998,0.15057779999999998,0.1902712434530258,0.1902712434530258,0.03210179473127761,0.03210179473127761,54,37.0,0.00406967027027027,0.005142466039270968,0.0008676160738183139,0.0027884777777777777,0.0035235415454264035,0.0005944776802088446
165,SOM,Sweden,1809,1974.0,0.08299434000000006,0.08299434000000006,0.2753828763961792,0.2753828763961792,0.21643417067735926,0.21643417067735926,213,165.0,0.0005029960000000003,0.0016689871296738134,0.00131172224652945,0.00038964478873239463,0.0012928773539726724,0.0010161228670298556
166,ZAF,Switzerland,1848,1874.0,0.2902336,0.16990554000000002,8.554027317586588e-07,0.6612570285797119,0.024613701720415215,0.10038968398455506,174,26.0,0.011162830769230768,3.290010506764072e-08,0.0009466808354005852,0.0009764686206896552,0.0038003277504581145,0.0005769522068077876
167,KOR,Syria,1930,1950.0,0.47683169999999997,0.77346879,0.1106467321515083,0.3398774862289428,0.09385187432563324,0.09182178955830855,92,20.0,0.023841585,0.005532336607575415,0.004692593716281663,0.008407269456521739,0.0036943205024885088,0.0009980629299816148
168,SSD,Taiwan,1947,,,,,,,,75,75.0,,,,,,
169,ESP,Tajikistan,1994,,,,,,,,28,28.0,,,,,,
170,LKA,Tanzania,1961,1962.0,0.1684582,0.90967238,0.0351328179240226,0.527443528175354,0.05238983031702882,0.07058064665900399,61,1.0,0.1684582,0.0351328179240226,0.05238983031702882,0.014912661967213114,0.00864661521598941,0.0011570597812951473
171,SDN,Thailand,1932,1949.0,0.84686565,0.80038594,0.1908187121152878,0.2071780413389206,0.09180024560084643,0.12009584438481224,90,17.0,0.04981562647058824,0.011224630124428694,0.005400014447108614,0.00889317711111111,0.0023019782370991178,0.0013343982709423583
172,SUR,Tibet,1991,,,,,,,,31,31.0,,,,,,
173,SWZ,Togo,1960,1979.0,0.16965850000000005,0.2485153,0.185365080833435,0.1677387952804565,0.19520699474474568,0.3057088118203328,62,19.0,0.008929394736842108,0.009756056885970263,0.010274052354986615,0.004008311290322581,0.002705464440007363,0.004930787287424723
174,SWE,Tonga,1875,,,,,,,,147,147.0,,,,,,
175,CHE,Trinidad and Tobago,1962,1976.0,0.05659190000000003,0.05659190000000003,0.0113568417727947,0.0113568417727947,0.010909584000036832,0.010909584000036832,60,14.0,0.004042278571428574,0.00081120298377105,0.0007792560000026308,0.0009431983333333338,0.000189280696213245,0.00018182640000061385
176,SYR,Tunisia,1959,2011.0,0.6373029,0.59640178,0.3942639231681824,0.5337355732917786,0.08269770848079683,0.18602531030048497,63,52.0,0.012255825,0.007581998522465046,0.0015903405477076314,0.00946669492063492,0.008471993226853628,0.002952782703182301
177,TWN,Turkey,1876,1921.0,0.9178878,0.89675595,0.69109708070755,0.5722893476486206,0.3113730362361883,0.19850723459535902,146,45.0,0.02039750666666667,0.015357712904612223,0.006919400805248628,0.00614216404109589,0.003919790052387812,0.0013596385931188973
178,TJK,Turkmenistan,1992,2008.0,0.5736536999999999,0.5736536999999999,0.5434771776199342,0.5434771776199342,0.15857381353536237,0.15857381353536237,30,16.0,0.035853356249999996,0.03396732360124589,0.009910863345960148,0.019121789999999996,0.018115905920664473,0.005285793784512079
179,TZA,Tuvalu,1978,1986.0,0.05692410000000003,0.05692410000000003,0.1046477407217025,0.1046477407217025,0.05194921674562081,0.05194921674562081,44,8.0,0.007115512500000004,0.013080967590212813,0.006493652093202601,0.0012937295454545463,0.002378357743675057,0.0011806640169459274
180,THA,Uganda,1967,1995.0,0.28298634,0.28298634,0.0730981081724166,0.0730981081724166,0.042542248922703196,0.042542248922703196,55,28.0,0.010106655,0.00261064672044345,0.0015193660329536856,0.005145206181818182,0.0013290565122257565,0.0007734954349582399
181,TAR,Ukraine,1978,1996.0,1.0,1.0,0.6929163932800293,0.6929163932800293,0.36421544690798413,0.36421544690798413,44,18.0,0.05555555555555555,0.03849535518222385,0.020234191494888008,0.022727272727272728,0.015748099847273392,0.008277623793363276
182,TGO,United Arab Emirates,1971,,,,,,,,51,51.0,,,,,,
183,TON,United states,1789,,,,,,,,233,233.0,,,,,,
184,TTO,Uruguay,1830,1918.0,0.07055579999999995,0.8528277,0.0531618371605873,0.437293291091919,0.0242746116192174,0.20177174048351942,192,88.0,0.0008017704545454539,0.0006041117859157647,0.0002758478593092887,0.0044418109374999995,0.002277569224437078,0.001050894481684997
185,TUN,Uzbekistan,1992,,,,,,,,30,30.0,,,,,,
186,TUR,Vanuatu,1979,1980.0,0.03110075000000001,0.03110075000000001,8.116972458083183e-05,8.116972458083183e-05,0.0053433587126582305,0.0053433587126582305,43,1.0,0.03110075000000001,8.116972458083183e-05,0.0053433587126582305,0.0007232732558139538,1.887668013507717e-06,0.00012426415610833095
187,TKM,Venezuela,1830,1858.0,0.49531144000000005,0.6903894500000001,0.0330679714679718,0.5789086222648621,0.04711169017162764,0.1850517884026014,192,28.0,0.017689694285714288,0.001180998980998993,0.0016825603632724157,0.003595778385416667,0.0030151490742961564,0.0009638113979302155
188,TUV,Vietnam,1960,1980.0,0.88556611,0.89146211,0.0576152950525283,0.0692893862724304,0.05265152416165997,0.05695867899102125,62,20.0,0.0442783055,0.002880764752626415,0.0026325762080829985,0.014378421129032258,0.0011175707463295227,0.0009186883708229233
189,UGA,Yemen Arab Republic,1970,1991.0,0.91352934,0.91352934,0.4192575812339783,0.4192575812339783,0.06557947292125943,0.06557947292125943,52,21.0,0.04350139714285714,0.01996464672542754,0.0031228320438694964,0.017567871923076923,0.008062645792961122,0.0012611437100242197
190,UKR,Yugoslavia,1921,1931.0,0.7365629,0.92929681,0.2343356609344482,0.5353895425796509,0.035464635480350615,0.13339767551498294,101,10.0,0.07365629,0.023433566093444817,0.0035464635480350615,0.009200958514851485,0.005300886560194563,0.0013207690645047816
191,ARE,Zambia,1964,1973.0,0.47582567,0.08689183,0.0122545082122087,0.021983603015542,0.00708344806061445,0.009546910404904851,58,9.0,0.05286951888888888,0.0013616120235787443,0.0007870497845127167,0.001498135,0.000379027638199,0.00016460190353284227
192,USA,Zimbabwe,1965,1969.0,0.24928090000000003,0.912269756,0.1375986635684967,0.6800962686538696,0.03265914422727001,0.092030721384043,57,4.0,0.06232022500000001,0.034399665892124176,0.008164786056817502,0.01600473256140351,0.011931513485155608,0.0016145740593691755
