,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use,1870_ahdi,1880_ahdi,1890_ahdi,1900_ahdi,1913_ahdi,1925_ahdi,1929_ahdi,1933_ahdi,1938_ahdi,1950_ahdi,1955_ahdi,1960_ahdi,1965_ahdi,1970_ahdi,1975_ahdi,1980_ahdi,1985_ahdi,1990_ahdi,1995_ahdi,2000_ahdi,2005_ahdi,2007_ahdi,2010_ahdi,2015_ahdi
10,AUT,Azerbaijan,1991,1995.0,0.07052709999999995,0.06490505000000002,0.4108837034454327,0.4113089213729315,0.2212169311922415,0.2184261661046515,31,4.0,0.01763177499999999,0.10272092586135817,0.055304232798060377,0.0020937112903225813,0.013268029721707469,0.007046005358214564,0.1501926801499312,0.15563118394998843,0.17363618405865708,0.19726738163041024,0.22794234064638055,0.3069273999999572,0.33344380418379604,0.23488846849518652,0.22025799434400412,0.39353658454623974,0.42948756206741073,0.45753253999137683,0.478400946227385,0.5005013689705451,0.5336727786320637,0.5657239557564132,0.5877159493308454,0.611580079527371,0.6373449774469607,0.6618087710060334,0.6771895289355363,0.6379433511995221,0.7026139202150353,0.7067516718775259
11,AZE,Bahamas,1973,,,,,,,,49,49.0,,,,,,,,,,,,,,,,,,,,,,0.20478788226851632,0.2213398844837999,0.2874170471428476,0.27483378265514524,0.27688173571494995,0.2781833503202698,0.2911460241927873,0.3159087143955824,0.29684316720811327
12,DEU-BW,Bahrain,1973,2002.0,0.88414273,0.88414273,0.471551186569334,0.471551186569334,0.05750339107525915,0.05750339107525915,49,29.0,0.030487680344827586,0.016260385743770138,0.001982875554319281,0.01804372918367347,0.009623493603455796,0.0011735385933726358,,,,,,,,,,,,,,,,,,,,,,,,
13,BHS,Bangladesh,1972,,,,,,,,50,50.0,,,,,,,,,,,,,,,,0.30432677650488543,0.3480767409431851,0.36724068927243586,0.3996328405803585,0.40926321921698583,0.40295172413515096,0.4339485981334823,0.4657155103362825,0.48807394971307005,0.5065855577471504,0.5433698545713723,0.5738246133588594,0.5811785913394861,0.6051824763073951,0.5920988641058232
14,BHR,Barbados,1966,,,,,,,,56,56.0,,,,,,,0.019673057955277084,0.019818721742616476,0.01996124274730018,0.020209361767026826,0.021907241423509295,0.04387680424590191,0.0611031341580386,0.06655896779376695,0.06867575168339278,0.12223871551520421,0.10291889395912816,0.11669983599781951,0.13192390446811134,0.1617455518993397,0.18463079537538749,0.1924856767862381,0.20880248435531906,0.20996886853186866,0.22159003123958565,0.23865859585164972,0.2794258396027371,0.2812351607149448,0.2841026757056806,0.25564503547458023
15,BGD,Belarus,1994,,,,,,,,28,28.0,,,,,,,,,,,,,,,,0.0993952666593483,0.10184586336858491,0.08961676092895461,0.11383474532082508,0.1072366745991575,0.11172714119652857,0.14563956960651742,0.1429878448090624,0.16947478215076342,0.2099340838107961,0.23742111614310177,0.2396059764035893,0.20087378351005547,0.25284688049183623,0.25113070214538763
16,BRB,Belgium,1831,,,,,,,,191,191.0,,,,,,,,,,,,,,,,0.2524536706172689,0.31239608235472527,0.3469777923807539,0.37004265259962144,0.43267429529482543,0.4455388980465431,0.4697073996808818,0.4799427146565822,0.5098023893278013,0.511532550919425,0.5253798350630298,0.548576275165608,0.5448497634065016,0.5618875803821325,0.5642035228379493
17,DEU-BY,Belize,1981,,,,,,,,41,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BLR,Benin,1964,1970.0,0.4622798,0.91531633,0.3310841009976211,0.5793712174704654,0.17009688304574977,0.06045488795279297,58,6.0,0.07704663333333334,0.05518068349960351,0.028349480507624963,0.01578131603448276,0.009989158921904575,0.0010423256543584994,,,,,,,,,,,,,,,,0.21618129192599148,0.22952696316309967,0.4317046832489598,0.418757805197944,0.3170263641393137,0.31985941334795726,0.31210612080759315,0.34769389546192747,0.3799917017575877
19,BEL,Bhutan,1953,2008.0,0.7390057400000001,0.7390057400000001,0.5798510482686507,0.5798510482686507,0.42081452759073834,0.42081452759073834,69,55.0,0.013436468000000002,0.010542746332157286,0.007651173228922515,0.01071022811594203,0.008403638380705084,0.006098761269430991,0.21929883763880112,0.23346549164708888,0.24490593617158224,0.2687082001623591,0.298316631508261,0.3161734695983051,0.32221551958487227,0.32437777397703116,0.3365228002899256,0.4017206776416908,0.4210093198491903,0.438027684689389,0.47514119156866197,0.49012538093400937,0.509060973418045,0.5393456525718497,0.5595620635093062,0.5948896260660791,0.6245469835068427,0.6531607808210013,0.6760689205931454,0.6665715726534427,0.6988194841552927,0.7050204566160452
