,code,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
32,TCD,Chad,1960,1962.0,0.47899970000000003,0.65725252,0.3939476228720946,0.454851216733575,0.02928414476563701,0.11134987805474783,0.2664992263094807,0.4762238859724454,62,2.0,0.23949985000000001,0.1969738114360473,0.014642072382818505,0.13324961315474035,0.010600847096774193,0.007336309947315726,0.0017959657750765779,0.00768103041891041
33,CHL,Chile,1823,1828.0,0.79397774,0.90222379,0.2959910081145223,0.7365878833383216,0.07768014817193158,0.08009136415263962,0.3199340318932087,0.7432067824174732,199,5.0,0.158795548,0.059198201622904456,0.015536029634386318,0.06398680637864174,0.004533787889447236,0.0037014466499413145,0.000402469166596179,0.003734707449334036
34,CHN,China,1914,1923.0,0.974792164,0.99040952,0.523323644525089,0.7993046241782078,0.18026564140709345,0.31433921958679667,0.5660122324728557,0.8012424749876922,108,9.0,0.10831024044444444,0.058147071613898774,0.020029515711899273,0.06289024805253952,0.00917045851851852,0.007400968742390813,0.0029105483295073765,0.007418911805441595
35,COL,Colombia,1811,1830.0,0.84710704,0.88412109,0.5011886534405836,0.7138076110276954,0.06881881151530878,0.26697449600241996,0.8220312078224995,0.829414264701798,211,19.0,0.04458458105263158,0.026378350181083348,0.003622042711332041,0.0432648004117105,0.004190147345971564,0.0033829744598468975,0.0012652819715754501,0.003930873292425583
36,COM,Comoros,1996,2001.0,0.6220859000000001,0.6220859000000001,0.3340164079975937,0.3340164079975937,0.12190675634187309,0.12190675634187309,0.4709765494524994,0.4709765494524994,26,5.0,0.12441718000000002,0.06680328159951873,0.024381351268374617,0.09419530989049987,0.023926380769230773,0.012846784922984373,0.00468872139776435,0.018114482671249977
37,COG,Congo,1963,1979.0,0.56628576,0.6311471200000001,0.5362755423911698,0.6180459342045737,0.03228650011629097,0.058956864413594046,0.4948687218005706,0.48788692893138,59,16.0,0.03539286,0.03351722139944811,0.002017906257268186,0.030929295112535664,0.010697408813559323,0.010475354817026673,0.0009992688883660008,0.008269269981887798
38,CRI,Costa Rica,1848,1871.0,0.68339023,0.28699509999999995,0.2619140807058625,0.6030793325894068,0.023207804200843563,0.09255042758723242,0.1858532057209933,0.7222645228056835,174,23.0,0.029712618695652174,0.011387568726341847,0.0010090349652540679,0.008080574161782317,0.0016493971264367813,0.0034659731758011885,0.0005318990091220254,0.004150945533365998
39,HRV,Croatia,1991,,,,,,,,,,31,31.0,,,,,,,,
40,CUB,Cuba,1940,1959.0,0.41931130000000005,0.6394616399999999,0.1974396363040445,0.6627909884993025,0.07420790108687159,0.16069391409183897,0.239335592928835,0.6541696115635492,82,19.0,0.02206901578947369,0.010391559805476028,0.0039056790045721886,0.01259661015414921,0.007798312682926829,0.008082816932918324,0.001959681879168768,0.007977678189799381
41,CYP,Cyprus,1960,,,,,,,,,,62,62.0,,,,,,,,
