,codes,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
107,LUX,Marshall Islands,1979,,,,,,,,,,43,43.0,,,,,,,,
108,MKD,Mauritania,1961,1978.0,0.6319351,0.58581632,0.4219162179097012,0.562861644202664,0.046834853349241645,0.09032801352985143,0.2693822023981336,0.3180009137657905,61,17.0,0.03717265294117647,0.024818601053511833,0.0027549913734848026,0.015846011905772565,0.009603546229508196,0.009227240068896131,0.0014807871070467446,0.005213129733865418
109,MDG,Mauritius,1968,,,,,,,,,,54,54.0,,,,,,,,
110,MWI,Mexico,1824,1836.0,0.54731816,0.5482378299999999,0.5020273947782926,0.5111385871348187,0.07026296421396283,0.10413019017664049,0.408443391208764,0.6609651725460612,198,12.0,0.04560984666666667,0.04183561623152438,0.005855247017830236,0.034036949267397,0.002768877929292929,0.002581508015832418,0.0005259100513971742,0.0033382079421518246
111,MYS,Micronesia,1981,,,,,,,,,,41,41.0,,,,,,,,
112,MDV,Moldova,1978,1994.0,0.9976256217,0.9976256217,0.8108473990482453,0.8108473990482453,0.06204375829361364,0.06204375829361364,0.8310721108874821,0.8310721108874821,44,16.0,0.06235160135625,0.05067796244051533,0.0038777348933508524,0.05194200693046763,0.02267330958409091,0.018428349978369212,0.0014100854157639462,0.018888002520170047
113,MLI,Monaco,1962,,,,,,,,,,60,60.0,,,,,,,,
114,MLT,Mongolia,1924,1940.0,0.892444424,0.955205906,0.3259062456340755,0.6849381224675295,0.12427614993237723,0.15288965061429804,0.3488029469137517,0.6902266565307295,98,16.0,0.0557777765,0.02036914035212972,0.007767259370773577,0.02180018418210948,0.009746999040816327,0.006989164514974791,0.0015600984756561024,0.0070431291482727495
115,MHL,Montenegro,1905,1992.0,0.84859242,0.8366929,0.8247713523522072,0.8202150196102956,0.11370926262786563,0.1010909685779311,0.8139319873653268,0.8193410735938195,117,87.0,0.009753935862068965,0.00948013048680698,0.0013070030187110992,0.009355540084658928,0.007151221367521367,0.00701038478299398,0.0008640253724609495,0.007002915158921534
116,MRT,Morocco,1962,1970.0,0.45373889999999995,0.52116936,0.2840955550724213,0.5632507823899715,0.04193180918883799,0.14965654103832216,0.4031944222012699,0.72195098226851,60,8.0,0.05671736249999999,0.03551194438405266,0.005241476148604748,0.050399302775158736,0.008686156,0.009387513039832858,0.002494275683972036,0.012032516371141833
117,MUS,Mozambique,1975,1990.0,0.27595294000000004,0.84001017,0.3676422630726549,0.4879383561644892,0.15275468700116268,0.22889705320534326,0.3610858006651024,0.3742679279656463,47,15.0,0.01839686266666667,0.02450948420484366,0.010183645800077513,0.024072386711006824,0.017872556808510638,0.010381667152435941,0.004870150068198793,0.00796314740352439
118,MEX,Myanmar,1947,1962.0,0.6414186,0.983304482,0.6659218506784514,0.8022149626158889,0.3081018992564276,0.10787741173055387,0.7635874396159729,0.8304725388987485,75,15.0,0.04276124,0.044394790045230094,0.020540126617095176,0.05090582930773153,0.013110726426666667,0.010696199501545186,0.0014383654897407183,0.011072967185316647
119,FSM,Namibia,1990,,,,,,,,,,32,32.0,,,,,,,,
120,MDA,Nauru,1968,,,,,,,,,,54,54.0,,,,,,,,
121,MCO,Nepal,1948,1959.0,0.88603003,0.83509955,0.5552964427474778,0.3608689148049265,0.0915864319926476,0.23072081535598432,0.5150273694004883,0.5401586651363733,74,11.0,0.08054818454545455,0.050481494795225255,0.008326039272058872,0.04682066994549894,0.011285129054054054,0.004876606956823331,0.0031178488561619503,0.0072994414207618015
122,MNG,Netherlands,1795,1815.0,0.98284872,0.98284872,0.733811101107819,0.733811101107819,0.32859160325384795,0.32859160325384795,0.7927069066049318,0.7927069066049318,227,20.0,0.049142436,0.03669055505539095,0.016429580162692397,0.03963534533024659,0.004329730044052863,0.003232648022501405,0.0014475401024398589,0.0034921009101538847
123,MNE,New zealand,1852,,,,,,,,,,170,170.0,,,,,,,,
124,MAR,Nicaragua,1858,1893.0,0.57017142,0.74367234,0.1832512237265972,0.6720473046370712,0.010886710132475219,0.08684611184159419,0.2597674839493467,0.792298970248485,164,35.0,0.016290612,0.005235749249331349,0.0003110488609278634,0.007421928112838477,0.00453458743902439,0.004097849418518726,0.000529549462448745,0.004831091282002957
125,MOZ,Niger,1960,1989.0,0.89508546,0.73904103,0.5699860147801724,0.7431631802567448,0.04217074801526055,0.1512387380966288,0.0,0.5458158834408287,62,29.0,0.030865015862068964,0.01965469016483353,0.0014541637246641569,0.0,0.011920016612903225,0.011986502907366851,0.002439334485429497,0.008803481990981108
126,MMR,Nigeria,1960,1963.0,0.030000899999999997,0.2395039,0.0515392113602937,0.4167833363587415,0.0071578551302790006,0.07166519637525637,0.2321541494290958,0.3198801344730217,62,3.0,0.010000299999999998,0.0171797371200979,0.0023859517100930003,0.07738471647636526,0.0038629661290322578,0.006722311876753895,0.0011558902641170383,0.005159357007629382
127,NAM,North Korea,1948,1972.0,0.77503286,0.47612980000000005,0.1837521032453043,0.2256352176756665,0.05273526816059082,0.09127517086761838,0.142670825786615,0.2147874609254829,74,24.0,0.03229303583333334,0.007656337635221013,0.0021973028400246175,0.005944617741108958,0.006434186486486487,0.0030491245631846823,0.001233448254967816,0.0029025332557497687
128,NRU,Norway,1814,,,,,,,,,,208,208.0,,,,,,,,
129,NPL,Oman,1996,,,,,,,,,,26,26.0,,,,,,,,
130,NLD,Pakistan,1956,1962.0,0.14577967000000003,0.1445826,0.1090214883171522,0.0477382573813698,0.013156904758496402,0.008969030610436968,0.2371090591887135,0.1978936537532837,66,6.0,0.024296611666666672,0.0181702480528587,0.0021928174597494,0.03951817653145225,0.002190645454545455,0.0007233069300207546,0.00013589440318843892,0.002998388693231571
131,NZL,Palau,1981,,,,,,,,,,41,41.0,,,,,,,,
132,NIC,Panama,1904,1940.0,0.39374864,0.4996174,0.4247056516763959,0.5404719295887913,0.050996769580844425,0.0868737777947648,0.3401846371619693,0.659912729902561,118,36.0,0.010937462222222222,0.01179737921323322,0.001416576932801234,0.009449573254499147,0.004234045762711865,0.00458027058973552,0.0007362184558878372,0.00559248076188611
133,NER,Papua New Guinea,1975,,,,,,,,,,47,47.0,,,,,,,,
134,NGA,Paraguay,1813,1844.0,0.80957755,0.9216653850000001,0.6453213328572128,0.8312122451124416,0.275620743719025,0.5029965022166588,0.4966865969854248,0.7989632321779406,209,31.0,0.026115404838709676,0.02081681718894235,0.008890991732871775,0.016022148289852413,0.004409882224880383,0.003977092081877711,0.0024066818287878412,0.003822790584583448
135,PRK,Peru,1822,1823.0,0.55195415,0.8385531900000001,0.4077143686257523,0.7302953340849626,0.3867030993338407,0.5232621873354164,0.3477130874623497,0.8229771521093382,200,1.0,0.55195415,0.4077143686257523,0.3867030993338407,0.3477130874623497,0.00419276595,0.003651476670424813,0.002616310936677082,0.004114885760546691
136,NOR,Philippines,1899,1935.0,0.63245398,0.8453361699999999,0.4813724331119937,0.4805483558271027,0.05665845725516361,0.08833055599517758,0.6165791255598192,0.6355740189700722,123,36.0,0.01756816611111111,0.013371456475333159,0.0015738460348656558,0.0171271979322172,0.006872651788617886,0.003906897201846364,0.0007181346015868096,0.005167268446911156
137,OMN,Poland,1921,1935.0,0.960284915,0.19456530000000005,0.2905199322436339,0.4979269593929384,0.021293041047382832,0.13705906797598955,0.4510478869310529,0.388254395903049,101,14.0,0.06859177964285715,0.02075142373168814,0.001520931503384488,0.03221770620936092,0.0019263891089108915,0.004929969894979588,0.0013570204750097976,0.0038441029297331584
138,PAK,Portugal,1911,1976.0,0.6624356499999999,0.6624356499999999,0.8150825903883638,0.8150825903883638,0.16280580607599515,0.16280580607599515,0.7498201646879703,0.7498201646879703,111,65.0,0.01019131769230769,0.012539732159820982,0.002504704708861464,0.011535694841353389,0.005967888738738738,0.0073430863998951695,0.001466718973657614,0.006755136618810543
139,PLW,Qatar,2003,,,,,,,,,,19,19.0,,,,,,,,
140,PAN,Romania,1948,1952.0,0.910497904,0.9936541156,0.4667508090604237,0.8321897687032318,0.055698516329678815,0.1497859474125114,0.3644803005721836,0.7760616733065429,74,4.0,0.227624476,0.11668770226510593,0.013924629082419704,0.0911200751430459,0.01342775831891892,0.011245807685178808,0.002024134424493397,0.010487319909547876
141,PNG,Russia,1905,1918.0,0.8263678999999999,0.6705097,0.7342642436816653,0.7121900068157782,0.188916078931339,0.22749051398442255,0.7483508861610939,0.8261795564489177,117,13.0,0.06356676153846154,0.05648186489858964,0.01453200607164146,0.05756545278162261,0.005730852136752136,0.006087094075348532,0.001944363367388227,0.0070613637303326305
142,PRY,Rwanda,1962,1978.0,0.6141721600000001,0.39607349999999997,0.4903372850347456,0.723698127877414,0.03811156821151285,0.12388819918441663,0.4261635442375058,0.7446211581227862,60,16.0,0.038385760000000005,0.0306460803146716,0.002381973013219553,0.026635221514844112,0.006601225,0.012061635464623568,0.0020648033197402773,0.012410352635379769
143,PER,Saint Kitts and Nevis,1983,,,,,,,,,,39,39.0,,,,,,,,
144,PHL,Saint Lucia,1978,,,,,,,,,,44,44.0,,,,,,,,
145,POL,Saint Vincent and the Grenadines,1979,,,,,,,,,,43,43.0,,,,,,,,
146,PRT,Samoa,1962,,,,,,,,,,60,60.0,,,,,,,,
147,QAT,Sao Tome and Principe,1975,,,,,,,,,,47,47.0,,,,,,,,
148,VNM,Saudi Arabia,1926,1992.0,0.61926216,0.61926216,0.6221168776110879,0.6221168776110879,0.10964881167540486,0.10964881167540486,0.3706153977335465,0.3706153977335465,96,66.0,0.00938276,0.009426013297137695,0.001661345631445528,0.005615384814144644,0.0064506475,0.0064803841417821655,0.0011421751216188006,0.003860577059724443
149,ROU,Senegal,1963,2001.0,0.41385510000000003,0.41385510000000003,0.5462124216697514,0.5462124216697514,0.03899271318511077,0.03899271318511077,0.3442721567426867,0.3442721567426867,59,38.0,0.010890923684210527,0.014374011096572404,0.0010261240311871256,0.009059793598491754,0.007014493220338983,0.009257837655419515,0.0006608934438154368,0.005835121300723503
150,RUS,Seychelles,1979,1993.0,0.14310250000000002,0.14310250000000002,0.2703033666225354,0.2703033666225354,0.08953288709990403,0.08953288709990403,0.285332497775997,0.285332497775997,43,14.0,0.010221607142857145,0.0193073833301811,0.0063952062214217165,0.0203808926982855,0.00332796511627907,0.006286124805175242,0.0020821601651140474,0.006635639483162721
151,RWA,Sierra Leone,1961,1978.0,0.110186,0.12124369999999995,0.3669705257143791,0.4687681830376351,0.04836474444317318,0.0734107053555898,0.604202522633907,0.6167066142185154,61,17.0,0.006481529411764706,0.021586501512610535,0.0028449849672454812,0.035541324860818055,0.0019876016393442614,0.007684724312092379,0.00120345418615721,0.010109944495385497
152,KNA,Singapore,1958,,,,,,,,,,64,64.0,,,,,,,,
153,LCA,Slovakia,1992,,,,,,,,,,30,30.0,,,,,,,,
154,VCT,Slovenia,1991,,,,,,,,,,31,31.0,,,,,,,,
155,WSM,Solomon Islands,1978,,,,,,,,,,44,44.0,,,,,,,,
156,STP,Somalia,1960,1979.0,0.69543922,0.85822763,0.6530863024915197,0.766160038432351,0.04967293685362961,0.13037253795744974,0.5775139727357013,0.7713550409338094,62,19.0,0.036602064210526315,0.03437296328902735,0.002614365097559453,0.030395472249247435,0.013842381129032258,0.01235741997471534,0.0021027828702814473,0.012441210337642086
157,SAU,South Africa,1961,1983.0,0.3971762,0.54476687,0.315988571084051,0.5395346522617532,0.028679087413782778,0.1598313746810569,0.2241898919374539,0.618767438121044,61,22.0,0.018053463636363634,0.014363116867456864,0.0013035948824446717,0.01019044963352063,0.008930604426229508,0.008844830364946774,0.0026201864701812607,0.010143728493787606
158,SEN,South Korea,1948,1987.0,0.63344964,0.63344964,0.495100243032061,0.495100243032061,0.06685724596693077,0.06685724596693077,0.3030384245616548,0.3030384245616548,74,39.0,0.016242298461538462,0.012694878026463102,0.00171428835812643,0.007770216014401405,0.00856013027027027,0.006690543824757581,0.0009034762968504157,0.004095113845427768
159,SYC,South Sudan,2011,,,,,,,,,,11,11.0,,,,,,,,
160,SLE,Spain,1808,1812.0,0.82604352,0.81067613,0.3504624321887255,0.6485993057046116,0.11242903737605603,0.1517498585208379,0.2505954224434972,0.6377334353693397,214,4.0,0.20651088,0.08761560804718138,0.028107259344014007,0.0626488556108743,0.0037882062149532715,0.003030837877124353,0.0007091114884151303,0.0029800627820997182
161,SGP,Sri Lanka,1931,1946.0,0.4493296,0.880680054,0.3809656826230929,0.8213321706228985,0.02963332118622597,0.1297914903675963,0.3811436313226573,0.8220337963329177,91,15.0,0.029955306666666667,0.02539771217487286,0.001975554745748398,0.025409575421510486,0.009677802791208792,0.009025628248603281,0.0014262801139296297,0.009033338421240855
162,SVK,Sudan,1973,1998.0,0.61996865,0.48525447,0.7017141811143115,0.7920647339808546,0.03254092546137877,0.18458258533751115,0.4745092037737949,0.7795501795598104,49,25.0,0.024798746,0.02806856724457246,0.0013016370184551506,0.018980368150951797,0.009903152448979591,0.016164586407772543,0.0037669915375002274,0.015909187337955315
163,SVN,Suriname,1987,,,,,,,,,,35,35.0,,,,,,,,
164,SLB,Swaziland,1968,2005.0,0.15057779999999998,0.15057779999999998,0.4362009209676497,0.4362009209676497,0.03210179473127761,0.03210179473127761,0.3878653560751602,0.3878653560751602,54,37.0,0.00406967027027027,0.011789214080206748,0.0008676160738183139,0.010482847461490816,0.0027884777777777777,0.008077794832734254,0.0005944776802088446,0.007182691779169633
165,SOM,Sweden,1809,1974.0,0.08299434000000006,0.08299434000000006,0.5247693554278672,0.5247693554278672,0.21643417067735926,0.21643417067735926,0.6034322466478355,0.6034322466478355,213,165.0,0.0005029960000000003,0.003180420335926468,0.00131172224652945,0.0036571651311990026,0.00038964478873239463,0.0024637058940275456,0.0010161228670298556,0.002833015242478101
166,ZAF,Switzerland,1848,1874.0,0.2902336,0.16990554000000002,0.000924879847201,0.8131771200542425,0.024613701720415215,0.10038968398455506,0.2669746572415735,0.4079195289917894,174,26.0,0.011162830769230768,3.5572301815423075e-05,0.0009466808354005852,0.010268256047752826,0.0009764686206896552,0.004673431724449669,0.0005769522068077876,0.002344365109148215
167,KOR,Syria,1930,1950.0,0.47683169999999997,0.77346879,0.3326360355576472,0.5829901253271301,0.09385187432563324,0.09182178955830855,0.3931089994685814,0.6686982205550721,92,20.0,0.023841585,0.01663180177788236,0.004692593716281663,0.019655449973429072,0.008407269456521739,0.006336849188338371,0.0009980629299816148,0.00726845891907687
168,SSD,Taiwan,1947,,,,,,,,,,75,75.0,,,,,,,,
169,ESP,Tajikistan,1994,,,,,,,,,,28,28.0,,,,,,,,
170,LKA,Tanzania,1961,1962.0,0.1684582,0.90967238,0.1874375040487433,0.7262530744687791,0.05238983031702882,0.07058064665900399,0.6141453375490903,0.8251805678414402,61,1.0,0.1684582,0.1874375040487433,0.05238983031702882,0.6141453375490903,0.014912661967213114,0.011905788106045558,0.0011570597812951473,0.013527550292482626
171,SDN,Thailand,1932,1949.0,0.84686565,0.80038594,0.4368280120542727,0.4551681462261178,0.09180024560084643,0.12009584438481224,0.3678895372691993,0.3754830025180345,90,17.0,0.04981562647058824,0.025695765414957217,0.005400014447108614,0.021640561015835252,0.00889317711111111,0.005057423846956864,0.0013343982709423583,0.004172033361311495
172,SUR,Tibet,1991,,,,,,,,,,31,31.0,,,,,,,,
173,SWZ,Togo,1960,1979.0,0.16965850000000005,0.2485153,0.4305404520291154,0.4095592695574799,0.19520699474474568,0.3057088118203328,0.3587511988336095,0.3792113537850727,62,19.0,0.008929394736842108,0.022660023791006075,0.010274052354986615,0.018881642043874186,0.004008311290322581,0.006605794670281934,0.004930787287424723,0.006116312157823754
174,SWE,Tonga,1875,,,,,,,,,,147,147.0,,,,,,,,
175,CHE,Trinidad and Tobago,1962,1976.0,0.05659190000000003,0.05659190000000003,0.1065684839565371,0.1065684839565371,0.010909584000036832,0.010909584000036832,0.256440724743269,0.256440724743269,60,14.0,0.004042278571428574,0.007612034568324079,0.0007792560000026308,0.018317194624519216,0.0009431983333333338,0.0017761413992756184,0.00018182640000061385,0.004274012079054483
176,SYR,Tunisia,1959,2011.0,0.6373029,0.59640178,0.6279043901488366,0.7305720863075584,0.08269770848079683,0.18602531030048497,0.3622038620469948,0.467964643265527,63,52.0,0.012255825,0.012075084425939166,0.0015903405477076314,0.00696545888551913,0.00946669492063492,0.011596382322342197,0.002952782703182301,0.007428010210563921
177,TWN,Turkey,1876,1921.0,0.9178878,0.89675595,0.831322488994223,0.7564980817217057,0.3113730362361883,0.19850723459535902,0.7519161659204737,0.7806889309092747,146,45.0,0.02039750666666667,0.01847383308876051,0.006919400805248628,0.016709248131566084,0.00614216404109589,0.005181493710422642,0.0013596385931188973,0.005347184458282704
178,TJK,Turkmenistan,1992,2008.0,0.5736536999999999,0.5736536999999999,0.7372090460784744,0.7372090460784744,0.15857381353536237,0.15857381353536237,0.2493890968979046,0.2493890968979046,30,16.0,0.035853356249999996,0.04607556537990465,0.009910863345960148,0.015586818556119037,0.019121789999999996,0.02457363486928248,0.005285793784512079,0.00831296989659682
179,TZA,Tuvalu,1978,1986.0,0.05692410000000003,0.05692410000000003,0.3234930304066883,0.3234930304066883,0.05194921674562081,0.05194921674562081,0.4545276725159933,0.4545276725159933,44,8.0,0.007115512500000004,0.04043662880083604,0.006493652093202601,0.05681595906449916,0.0012937295454545463,0.007352114327424734,0.0011806640169459274,0.010330174375363484
180,THA,Uganda,1967,1995.0,0.28298634,0.28298634,0.2703666180807399,0.2703666180807399,0.042542248922703196,0.042542248922703196,0.3807672215814614,0.3807672215814614,55,28.0,0.010106655,0.00965595064574071,0.0015193660329536856,0.013598829342195052,0.005145206181818182,0.004915756692377089,0.0007734954349582399,0.006923040392390208
181,TAR,Ukraine,1978,1996.0,1.0,1.0,0.8324159977319209,0.8324159977319209,0.36421544690798413,0.36421544690798413,0.8302623488479149,0.8302623488479149,44,18.0,0.05555555555555555,0.04624533320732894,0.020234191494888008,0.04612568604710639,0.022727272727272728,0.018918545402998203,0.008277623793363276,0.018869598837452612
182,TGO,United Arab Emirates,1971,,,,,,,,,,51,51.0,,,,,,,,
183,TON,United states,1789,,,,,,,,,,233,233.0,,,,,,,,
184,TTO,Uruguay,1830,1918.0,0.07055579999999995,0.8528277,0.2305685086055494,0.6612815520577593,0.0242746116192174,0.20177174048351942,0.2365732025680829,0.5821614051399149,192,88.0,0.0008017704545454539,0.002620096688699425,0.0002758478593092887,0.002688331847364578,0.0044418109374999995,0.0034441747503008296,0.001050894481684997,0.00303209065177039
185,TUN,Uzbekistan,1992,,,,,,,,,,30,30.0,,,,,,,,
186,TUR,Vanuatu,1979,1980.0,0.03110075000000001,0.03110075000000001,0.0090094242091729,0.0090094242091729,0.0053433587126582305,0.0053433587126582305,0.0666467547236234,0.0666467547236234,43,1.0,0.03110075000000001,0.0090094242091729,0.0053433587126582305,0.0666467547236234,0.0007232732558139538,0.00020952149323657905,0.00012426415610833095,0.0015499245284563582
187,TKM,Venezuela,1830,1858.0,0.49531144000000005,0.6903894500000001,0.1818460103163437,0.7608604486138454,0.04711169017162764,0.1850517884026014,0.1842045743643601,0.7800777565503588,192,28.0,0.017689694285714288,0.006494500368440847,0.0016825603632724157,0.006578734798727147,0.003595778385416667,0.003962814836530445,0.0009638113979302155,0.004062904982033119
188,TUV,Vietnam,1960,1980.0,0.88556611,0.89146211,0.2400318625777177,0.2632287717412943,0.05265152416165997,0.05695867899102125,0.2534919500157955,0.2287969861512218,62,20.0,0.0442783055,0.012001593128885884,0.0026325762080829985,0.012674597500789775,0.014378421129032258,0.004245625350666036,0.0009186883708229233,0.0036902739701809967
189,UGA,Yemen Arab Republic,1970,1991.0,0.91352934,0.91352934,0.64750102797909,0.64750102797909,0.06557947292125943,0.06557947292125943,0.6631846618133683,0.6631846618133683,52,21.0,0.04350139714285714,0.030833382284718575,0.0031228320438694964,0.03158022199111278,0.017567871923076923,0.012451942845751731,0.0012611437100242197,0.012753551188718622
190,UKR,Yugoslavia,1921,1931.0,0.7365629,0.92929681,0.4840822873587178,0.7317031792876473,0.035464635480350615,0.13339767551498294,0.4537620768578994,0.6871878345695247,101,10.0,0.07365629,0.04840822873587178,0.0035464635480350615,0.04537620768578994,0.009200958514851485,0.007244585933541062,0.0013207690645047816,0.0068038399462329174
191,ARE,Zambia,1964,1973.0,0.47582567,0.08689183,0.1107000822592682,0.1482686852155303,0.00708344806061445,0.009546910404904851,0.0534678352646791,0.2020293373905972,58,9.0,0.05286951888888888,0.012300009139918688,0.0007870497845127167,0.005940870584964345,0.001498135,0.002556356641647074,0.00016460190353284227,0.0034832644377689173
192,USA,Zimbabwe,1965,1969.0,0.24928090000000003,0.912269756,0.3709429384265142,0.8246794945030885,0.03265914422727001,0.092030721384043,0.3295738410361128,0.6888777515689152,57,4.0,0.06232022500000001,0.09273573460662855,0.008164786056817502,0.0823934602590282,0.01600473256140351,0.014468061307071728,0.0016145740593691755,0.012085574588928337
