,country,year,distance_tfidf_prime,distance_lda50_prime,distance_use_prime,distance_stm50_prime,distance_tfidf_sequence,distance_lda50_sequence,distance_use_sequence,distance_stm50_sequence
43,Bhutan,2008,0.7397624,0.5798510482686507,0.42081452759073834,0.5631042137355383,0.7397623956203461,0.5798510482686507,0.42081452759073834,0.5631042137355383
44,Bolivia,1826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Bolivia,1831,0.4295181,0.1756898112360465,0.006509150755104831,0.0630173190704509,0.42951810359954834,0.1756898112360465,0.006509150755104831,0.0630173190704509
46,Bolivia,1843,0.6603439,0.3051427350271868,0.04646664347230678,0.1222651317497023,0.5570950210094452,0.2088427732377169,0.046960603105540843,0.1222651317497023
47,Bolivia,1851,0.58563495,0.3598206286470486,0.042276776015599205,0.146714012900113,0.551776111125946,0.2122105576651849,0.017415609686297184,0.146714012900113
48,Bolivia,1880,0.64350784,0.6997389749501381,0.031691375380696996,0.5184287389566611,0.6096152663230896,0.5539782381827383,0.055171400820548167,0.5184287389566611
49,Bolivia,1938,0.71847907,0.6881878619537358,0.04853243715479638,0.6310177787685658,0.6209458708763123,0.5106129528384783,0.015867955581682414,0.6310177787685658
50,Bolivia,1945,0.62108305,0.6955873396242322,0.041523904057030436,0.5764793596472917,0.4913850426673889,0.3303033410266863,0.007026529566910411,0.5764793596472917
51,Bolivia,1967,0.7270336,0.8240121157551725,0.09059580370205,0.7361188200522005,0.47272342443466187,0.4119225028608092,0.03586279748272303,0.7361188200522005
52,Bolivia,2009,0.85419834,0.8324257358728214,0.2543014484931583,0.8263893581878531,0.7971169352531433,0.6231011872251634,0.14073281733517762,0.8263893581878531
53,BosniaAndHerzegovina,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Botswana,1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Brazil,1824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Brazil,1891,0.88681298,0.4572294408682359,0.058620367778417615,0.7149221457578789,0.8868129774928093,0.4572294408682359,0.058620367778417615,0.7149221457578789
57,Brazil,1937,0.80356976,0.7315590621039668,0.09775701326184383,0.7411997833224908,0.6277681589126587,0.5098210739438005,0.062110980510589164,0.7411997833224908
