,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
22,BTN,Bhutan,1953,2008.0,0.74306008,0.74306008,0.3529213964939117,0.3529213964939117,0.42081452759073834,0.42081452759073834,69,55.0,0.013510183272727273,0.006416752663525667,0.007651173228922515,0.010768986666666668,0.00511480284773785,0.006098761269430991
23,BOL,Bolivia,1826,1831.0,0.36826943999999995,0.85554436,0.0170848555862903,0.6929786205291748,0.006509150755104831,0.2543014484931583,196,5.0,0.07365388799999999,0.00341697111725806,0.0013018301510209663,0.004365022244897959,0.003535605206781504,0.0012974563698630525
24,BIH,BosniaAndHerzegovina,1995,,,,,,,,27,27.0,,,,,,
25,BWA,Botswana,1966,,,,,,,,56,56.0,,,,,,
26,BRA,Brazil,1824,1891.0,0.87848757,0.9004021,0.2310631871223449,0.5979126691818237,0.058620367778417615,0.3015444523113866,198,67.0,0.013111754776119403,0.003448704285408133,0.000874930862364442,0.004547485353535353,0.003019760955463756,0.0015229517793504373
27,BGR,Bulgaria,1947,1971.0,0.46452415,0.4853389,0.139264166355133,0.3937132060527802,0.04643947126270398,0.07318119922901622,75,24.0,0.019355172916666667,0.005802673598130542,0.0019349779692793324,0.006471185333333334,0.00524950941403707,0.0009757493230535497
28,BFA,Burkina Faso,1960,1988.0,0.924239285,0.9432239,0.6926872730255127,0.05222599953413,0.23001554489984022,0.11402864259473788,62,28.0,0.03300854589285714,0.024738831179482595,0.008214840889280008,0.01521328870967742,0.0008423548311956451,0.0018391716547538368
29,BDI,Burundi,1962,1974.0,0.42184854000000005,0.80498667,0.3659184277057648,0.4730678796768188,0.10679735540596835,0.19198231492289397,60,12.0,0.035154045,0.030493202308813736,0.00889977961716403,0.013416444500000001,0.007884464661280313,0.0031997052487148995
30,KHM,Cambodia,1947,1972.0,0.89030989,0.70723924,0.3083107769489288,0.4119265675544739,0.06916978539258556,0.12160394612954684,75,25.0,0.0356123956,0.01233243107795715,0.0027667914157034224,0.009429856533333334,0.0054923542340596515,0.001621385948393958
31,CMR,Cameroon,1960,1961.0,0.9048866799999999,0.984391426,0.6213521957397462,0.6712810993194579,0.300576584180148,0.2929393088384198,62,1.0,0.9048866799999999,0.6213521957397462,0.300576584180148,0.01587728106451613,0.010827114505152547,0.004724827561909997
32,CAN,Canada,1791,1867.0,0.71665347,0.7359506499999999,0.2340366989374161,0.2969401776790619,0.08352512198706197,0.1285695809563987,231,76.0,0.009429650921052631,0.0030794302491765277,0.0010990147629876574,0.0031859335497835496,0.0012854553146279736,0.0005565782725385225
33,CPV,Cape Verde,1980,,,,,,,,42,42.0,,,,,,
34,Caribbean charter,Caribbean Charter,1997,,,,,,,,25,25.0,,,,,,
35,CAF,Central African Republic,1981,1994.0,0.52484643,0.89939876,0.0342239923775196,0.1670713573694229,0.04049405854217236,0.08802398684896484,41,13.0,0.04037280230769231,0.0026326147982707387,0.003114927580167105,0.02193655512195122,0.004074911155351778,0.0021469265085113376
36,TCD,Chad,1960,1962.0,0.475981,0.65972215,0.0706074237823486,0.0148507431149482,0.02928414476563701,0.11134987805474783,62,2.0,0.2379905,0.0353037118911743,0.014642072382818505,0.010640679838709678,0.00023952811475722903,0.0017959657750765779
37,CHL,Chile,1823,1828.0,0.7812659,0.911680475,0.0771212130784988,0.3994678556919098,0.07768014817193158,0.08009136415263962,199,5.0,0.15625318,0.01542424261569976,0.015536029634386318,0.00458130891959799,0.002007376159255828,0.000402469166596179
38,CHN,China,1914,1923.0,0.97547019,0.990570586,0.4425162076950074,0.6042391657829286,0.18026564140709345,0.31433921958679667,108,9.0,0.10838557666666666,0.04916846752166749,0.020029515711899273,0.00917194987037037,0.005594807090582672,0.0029105483295073765
39,COL,Colombia,1811,1830.0,0.85389668,0.86736923,0.2012062221765518,0.6751757860183716,0.06881881151530878,0.26697449600241996,211,19.0,0.04494193052631579,0.010589801167186936,0.003622042711332041,0.004110754644549763,0.0031998852417932304,0.0012652819715754501
40,COM,Comoros,1996,2001.0,0.6049536799999999,0.6049536799999999,0.1198050826787948,0.1198050826787948,0.12190675634187309,0.12190675634187309,26,5.0,0.12099073599999999,0.02396101653575896,0.024381351268374617,0.02326744923076923,0.004607887795338262,0.00468872139776435
41,COG,Congo,1963,1979.0,0.5714716,0.6522646000000001,0.1790606379508972,0.053567923605442,0.03228650011629097,0.058956864413594046,59,16.0,0.035716975,0.011191289871931074,0.002017906257268186,0.011055332203389832,0.0009079309085668135,0.0009992688883660008
42,CRI,Costa Rica,1848,1871.0,0.63520914,0.29857963,0.0946053862571716,0.6926301717758179,0.023207804200843563,0.09255042758723242,174,23.0,0.027617788695652172,0.004113277663355287,0.0010090349652540679,0.0017159748850574712,0.00398063317112539,0.0005318990091220254
43,HRV,Croatia,1991,,,,,,,,31,31.0,,,,,,
44,CUB,Cuba,1940,1959.0,0.4181888,0.6367807999999999,0.0789707750082015,0.401806116104126,0.07420790108687159,0.16069391409183897,82,19.0,0.022009936842105265,0.0041563565793790265,0.0039056790045721886,0.007765619512195121,0.004900074586635683,0.001959681879168768
45,CYP,Cyprus,1960,,,,,,,,62,62.0,,,,,,
46,CZE,Czech Republic,1993,,,,,,,,29,29.0,,,,,,
47,CSK,Czechoslovakia,1918,1920.0,0.956490874,0.972652724,0.5106565952301025,0.5720458030700684,0.29997620876060116,0.30514876000696056,104,2.0,0.478245437,0.25532829761505127,0.14998810438030058,0.009352430038461538,0.005500440414135273,0.0029341226923746207
